1,Name,Author,Translated By,Chapter Translated,,Nationality,Translation Status,Genre,Tags,Sypnosis,Rating,
2,Against Heaven,Er Gen,Skynode,12,http://gravitytales.com/2015/10/26/intro-to-against-heaven/,Chinese,Ongoing,Action Adult Fantasy Martial Arts Mature Mecha Wuxia,NSFW Slavery post-apocalyptic ,In the post-apocalyptic age  men were damned. On a fateful day  one ordinary man found a black mystical crystal in a mine. One event led to another  things happened and he was given the opportunity to change his life forever. But  could he escape from his predetermined fate and create a destiny for himself?,4.0,
3,Blood Hourglass,Quiet Forest,Wuxi Heroes/ Gravity Tales,25,http://gravitytales.com/blood-hourglass/foreword/,Chinese,Ongoing,Action Adult Fantasy Martial Arts Mature Mecha Wuxia,Female Protagonist Strong Female And Male Leads Vampire Lords Vampires,A blood hourglass  a powerful object capable of causing time to become eternal and even reversing the future. An enigmatic girl walked into a cryptic world. When she deciphered her own riddle  she also revealed the truth behind the three realms of the world. Blood ties  twists of fate  and the paradox of choices. The only hope was to avoid giving up the present and future for the sake of yesterday. The future is surprise  tomorrow is hope.,3.5,
,Conquest,Tito Wu,Wuxia Heroes,70,http://wuxiaheroes.com/2015/08/12/new-novel-conquest-intro-shaar-thunder/,Chinese,Ongoing,Action Adventure Comedy Fantasy Martial Arts Romance Seinen Wuxia,Beautiful Female Lead Conquest Cunning Male Lead Dragonhunt Dragons Dwarfs Empires Fantasy World Based On Europe Goblins Ki Cultivation Magic Military Politics Protagonist Strong from the Start Strong Male Lead Uncivilized Male Lead Wars,Growing up in a place where the rule of the jungle is law  the simple yet cunning Shaar is thrown into the chaotic world of war and political turbulence. After a chance meeting with a mysterious young girl  his destiny is forever changed as he embarks on a journey  joining the Byzantine army and climbing its ranks. With his bizarre beauty standards  will he ever return the affection of the girls that follow him? Will he ever learn about his origin? What lies ahead of him is a journey of strange humor and adventure. Join him as he smashes the world order and forever engraves his name in history!,3.5,
4,Chaotic Sword God,Xin Xing Xiao Yao),Gravity Tales,351,http://gravitytales.com/chaotic-sword-god/,Chinese,Ongoing,Action  Adventure  Fantasy  Martial Arts  Mature  Romance  Xianxia,Action Adventure Fantasy Martial Arts Mature Romance Xianxia,Jian Chen  the publicly recognized #1 expert in the underworld. His quick sword techniques reached perfection and no one could defeat it. After one battle with the exceptional expert  Dugu Qiubai  who disappeared for a hundred years  his body died and he deceased.  After death  Jian Chen’s soul was reincarnated into a foreign world. He experiences many things  life  death and everything in between. Join us for a journey!,3.9,
5,A Mistaken Marriage Match – A Generation of Military Counselor,Qian Lu,Nutty,43,https://nuttyisprocrasinating.wordpress.com/tag/a-mistaken-marriage-match/,Chinese,Complete,Action Adventure Comedy Historical Romance Supernatural,Ancient China Military Smart Female Lead Spirit Strong Female Lead Strong Leader Training Transported to Another World Wars,She is an honorably retired SWAT officer with meritorious deeds and a dashing detective who solve cases like a god. One day  a strange golden board with eight divinatory trigrams brings her to a different world  where she is a “gift” to a general’s manor. He is a grim god of war whose power overwhelms six countries and the defender-general of the state with military power in hands. An imperial edict brought him a delicate concubine. He turned and left. After returning  his second in command and soldiers ignored him. Instead  they kept on saying “What does madam think?” When has general’s manor changed it´s owner? Solving cases  training soldiers  night attacks  suppressing bandits  street fights  counter-terrorism operations  naval battles – one after another appeared on stage. She played with flourish  yet he was a little unable to resist.,4.6,
6,A Book Dedicated to Our Youth,Tong Hua,Tofubyu,14,https://tofubyu.wordpress.com/2014/06/06/a-book-dedicated-to-our-youth-prologue/,Chinese,Ongoing,Josei Romance,Bullying First Love Smart Female Lead,There are always moments far in the past that remain forever engraved in our memory. The last decade of the 2000’s was chock full of unique memories – memories of The Little Tigers  The Bund  and the Four Heavenly Kings that brought us great emotions now rest with the dust-covered journals of our youth.Born in the 80’s  Tong Hua has brought together a classic youth book that reminds readers that those timeless memories of our youth are only so precious due to their brief nature. Bring those memories back once again with this memorable read; though we are gradually aging and leaving our past behind  our warm  child-like spirits will never fade!,4,
7,Terror Infinity,Zhttty,a0132,23 Volumes,http://a0132.blogspot.com/p/index.html,Chinese,completed,Action Fantasy Horror Mystery Romance Sci-fi Seinen Supernatural Tragedy,Aliens Game Elements Games Guns Infinity Series Military Monsters Over Coming Limits Survival Survival Game Undead Zombie Hunters Zombies,"“Want to know the meaning of life? Want to live… a real life?” The world changes when you click YES. In God’s dimension  you have to keep getting stronger  keep evolving to survive one horror movie after another. Do you kill everyone in your way to reach the end as a lone king? Or fight along with your comrades and survive through the support of friends? Everything was just for staying alive.Until you find the secret of God’s dimension. Who is the real enemy?",4.5,
8,Coiling Dragon,I Eat Tomatoes ,wuxiaworld,21 Volumes,http://www.wuxiaworld.com/cdindex-html/,Chinese,Completed,Action Adventure Fantasy Martial Arts Romance School Life Seinen Xianxia,Age Progression Artifact Refining Beast Partner Body Refining Clan Politics Dragons Fantasy Creatures Flying Genius Male Lead Godly Powers Hard-Working Protagonist Interspatial Storage Device Kingdom Building Legendary Artifact Magic Multiple Realms Near-Death Experience Ranked by Strength Revenge Spirit Advisor Strong Male Lead Training Weak to Strong,Empires rise and fall on the Yulan Continent. Saints  immortal beings of unimaginable power  battle using spells and swords  leaving swathes of destruction in their wake. Magical beasts rule the mountains  where the brave – or the foolish – go to test their strength. Even the mighty can fall  feasted on by those stronger. The strong live like royalty; the weak strive to survive another day. This is the world which Linley is born into. Raised in the small town of Wushan  Linley is a scion of the Baruch clan  the clan of the once-legendary Dragonblood Warriors. Their fame once shook the world  but the clan is now so decrepit that even the heirlooms of the clan have been sold off. Tasked with reclaiming the lost glory of his clan  Linley will go through countless trials and tribulations  making powerful friends but also deadly enemies.Come witness a new legend in the making. The legend of Linley Baruch.,4.7,
9,Stellar Transformations ,I Eat Tomatoes ,wuxiaworld/SPCNET,14 Volume,http://www.wuxiaworld.com/st-index/,Chinese,Ongoing,Action Adventure Fantasy Martial Arts Romance Supernatural Xianxia,Age Progression Artifact Refining Beast Partner Body Refining Clan Politics Crippled Male Lead Demons Dragons Godly Powers Immortality Immortals Interspatial Storage Device Multiple Realms Mythical Beast Power-Boosting Item Protagonist Loyal to Love Interest Slow Romance Strong Male Lead Training Unique Cultivation Technique Wars Weak to Strong,In a galaxy far away  there is a child without the innate ability to practice internal techniques. So  in order to gain the respect of his father  he resolutely chooses to follow the more difficult and painful path of practicing external techniques. As the years go by  he grows up  but what really changes his life is a mysterious meteoric crystal stone — the Meteoric Tear. This stone fuses with the young man’s body  and he seems to undergo drastic transformations as a result. After that  everything is changed. Eventually his father knows that the son for whom he hasn’t really shown a lot of consideration possesses astonishing abilities. And there’s a lot more to come.,4.5,
10,The Desolate Era,I Eat Tomatoes ,wuxiaworld,9 Volume,http://www.wuxiaworld.com/desolate-era-index/,Chinese,Ongoing,Action Adventure Drama Fantasy Martial Arts School Life Seinen Tragedy Xianxia,Adapted to Manhua Clans Fantasy Creatures Genius Genius Male Lead Immortals Lords Magic Formations Prodigy Ranked Magic Treasures Reincarnation Ruthless Male Lead Slaves Smart Male Lead Sword Training Swordsman Weak to Strong,Fate had never been kind to Ji Ning. Wracked by illnesses and infirm his entire life on Earth  Ning knew early on that he would die as a teenager. What he didn’t know was that there really was such a thing as life after death  and that the multiverse was a far larger place than he thought. A lucky twist of fate (one of the few in Ning’s life) meant that Ning was reborn into a world of Immortals and monsters  of Ki Refiners and powerful Fiendgods  a world where Dynasties lasted for millions of years. A world which is both greater…and yet also smaller…than he ever could imagine. He would have the opportunity to join them  and in this life  Ning swore to himself  he would never let himself be weak again! The Era he was born into was a Desolate one  but Ning would make it his era.,4.5,
